v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
418	6.733999919891	0	1	EOREOR	10	63
423	1690	0	1	EOREOR	89	7
429	9.855000257492	0	1	EOREOR	10	69
432	1471.35	0	1	EOREOR	89	6
434	6.3	58	1	EOREOR	10	69
436	15.45749974251	11	1	EOREOR	10	69
437	8.5	28	1	EOREOR	10	69
438	32.36999950409	12	1	EOREOR	10	70
439	24.56999950409	3	1	EOREOR	10	70
440	19.36999950409	4	1	EOREOR	10	70
441	15.46999950409	8	1	EOREOR	10	70
479	10.95	7	1	EOREOR	1	47
481	12.036	0	1	EOREOR	1	41
483	26.22100009918	3	1	EOREOR	10	90
485	8.1	0	1	EOREOR	10	90
522	2.9	360	1	EOREOR	20	1
525	2.17	5010	1	EOREOR	20	1
528	3.15	240	1	EOREOR	20	1
535	3.89	-220	1	EOREOR	20	2
549	3.05	870	1	EOREOR	20	1
557	3.252540066242	0	1	EOREOR	20	1
558	4.15	660	1	EOREOR	20	2
559	4.329360103607	0	1	EOREOR	20	2
561	3.939320135117	360	1	EOREOR	20	2
573	3.75	1800	0	EOREOR	20	2
583	4.602236956358	380	1	EOREOR	20	2
603	2.024490088224	215	1	EOREOR	20	8
604	1.534244978428	286	1	EOREOR	20	8
605	1.448404994607	341	1	EOREOR	20	8
610	1.627044993639	120	1	EOREOR	20	8
611	1.186500036717	239	1	EOREOR	20	8
612	1.277885046601	246	1	EOREOR	20	8
614	0.9928800344467	258	1	EOREOR	20	8
622	1.357054960728	227	1	EOREOR	20	8
625	1.027179968357	54	1	EOREOR	20	8
627	0.9946999847889	217	1	EOREOR	20	8
642	1.630607964993	0	1	EOREOR	20	9
647	1.776600074768	161	1	EOREOR	20	9
658	1.15608497262	146	1	EOREOR	20	9
659	1.538015085459	42	1	EOREOR	20	9
664	1.587605017424	0	1	EOREOR	20	9
665	1.77407501936	137	1	EOREOR	20	9
669	1.743624979258	24	1	EOREOR	20	9
670	1.70143006444	48	1	EOREOR	20	9
672	1.714479982853	176	1	EOREOR	20	9
673	1.579961950779	90	1	EOREOR	20	9
674	1.719480071068	6	1	EOREOR	20	9
679	1.768469974995	2	1	EOREOR	20	9
699	1.707229989767	375	1	EOREOR	20	9
701	1.488330044746	9	1	EOREOR	20	9
706	2.34029994607	83	1	EOREOR	20	9
710	1.041180038452	324	1	EOREOR	20	9
714	1.84265999198	325	1	EOREOR	20	9
726	1.662279963493	205	1	EOREOR	20	9
729	1.662279963493	80	1	EOREOR	20	9
732	1.830335021019	220	1	EOREOR	20	9
734	1.459134960175	140	1	EOREOR	20	9
735	1.408819961548	51	1	EOREOR	20	9
736	1.758260035515	66	1	EOREOR	20	9
746	2.25170493722	327	1	EOREOR	20	9
747	1.43492000401	109	1	EOREOR	20	9
748	1.768130069971	318	1	EOREOR	20	9
751	1.997964055538	106	1	EOREOR	20	9
752	1.302969974279	1546	1	EOREOR	20	9
753	1.935500073433	126	1	EOREOR	20	9
756	1.808149969578	127	1	EOREOR	20	9
757	1.430922060013	101	1	EOREOR	20	9
759	1.770408017635	0	1	EOREOR	20	22
762	1.899934989214	3	1	EOREOR	20	9
764	1.887702019215	74	1	EOREOR	20	9
765	2.187760043144	99	1	EOREOR	20	9
782	1.442460045219	193	1	EOREOR	20	9
