ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1163;1163;6.74;0;2;both;1;DOUILLE INOX 3/8 – 3/8        ;;100;0;0
1168;1168;2.04;312;2;both;1;MISTER B BAMBA 33BTE          ;MISTER B;33;6.3;1
1170;1170;2.2;-16;2;both;1;MISTER B BUBBA  33BTE         ;MISTER B;33;8;1
1187;1187;3.05;2;2;both;1;DE MOLEN HEMEL & AARDE 33VP   ;BRASSERIE DE MOLLEN;33;10;0
1203;1203;10.45;10;2;both;1;MARTINI ROSATO 100CL          ;;100;14.4;0
1207;1207;1.67;468;2;both;1;DE RANKE FRANC BELGE 33VC     ;BRASSERIE DE RANKE;33;5.2;4
1232;1232;1.83;363;2;both;1;JAMBE DE BOIS TRIPLE 33VC     ;BRASSERIE DE LA SENNE;33;8;0
1233;1233;2.04;0;2;both;1;MISTER B BAZOOKA DIPA 33BTE   ;MISTER B;33;8.2;0
1242;1242;12.9;0;2;both;1;SAKE CHOYA 75CL               ;;75;14.5;0
1245;1245;1.56;163;2;both;1;TARAS BOULBA EXTRA HOPPY 33VC ;BRASSERIE DE LA SENNE;33;4.5;8
1263;1263;2.95;1200;2;both;1;GROLSCH PREMIUM PILSNER 30L   ;ASAHI;100;5;7
1264;1264;4.27;930;2;both;1;GUINNESS 30L                  ;BRASSERIE GUINESS;100;4.2;0
1270;1270;7.53;20;2;both;1;TIBIDABO BARREL 1 STOUT 20LK  ;;100;11;5
1272;1272;1113;0;2;both;1;AXIS T 3 TIRAGE FUT NOIR      ;;100;0;0
1274;1274;990.57;0;2;both;1;GROUPE FC LINE CONV 40 1/4CV  ;;100;0;0
1277;1277;51.5;3;2;both;1;PANNEAU MURAL PVC BLANC       ;;100;0;0
1279;1279;2.87;-570;2;both;1;LICORNE 30L INOX              ;BRASSERIE LICORNE;100;4.8;0
1280;1280;49.92;0;2;both;1;PANNEAU THERMOPRESSION 380X260;;100;0;0
1282;1282;434.69;0;2;both;1;EGOUTTOIR GRILLE TOTAL INOX304;;100;0;0
1286;1286;3.49;0;2;both;1;PILSNER URQUELL BLONDE 30L    ;ASAHI;100;4.4;7
1292;1292;2.36;0;2;both;1;ECARTEUR GROUPE MOUSSE        ;;100;0;0
1293;1293;157.28;0;2;both;1;COUVERCLE H40 COIN DROIT      ;;100;0;0
1294;1294;152.7;0;2;both;1;COUVERCLE H40 COIN BISOTE     ;;100;0;0
1295;1295;89;0;2;both;1;TUYAU ALIMENTAIRE TRESSE 8X14 ;;100;0;0
1296;1296;0.6;0;2;both;1;CIRCLIPS GUEST 3/8 (9.5MM)    ;;100;0;0
1297;1297;658;0;2;both;1;COLONNE ITALIENNE 2T CHROME   ;;100;0;0
1298;1298;682;0;2;both;1;COLONNE LODGE 2T CHROME       ;;100;0;0
1300;1300;4.71;0;2;both;1;CHOUFFE BLONDE 20L            ;BRASSERIE D'ACHOUFFE;100;8;0
1339;1339;23.6;24;2;both;1;FRANZISKANER WEISS HELL 6L    ;BRASSERIE FRANZIKANER;600;5;0
1342;1342;22.65;17;2;both;1;JUPILER 6L                    ;BRASSERIE JUPILER;600;5.2;0
1343;1343;24.85;28;2;both;1;LEFFE BLONDE 6L               ;ABBAYE DE LEFFE;600;6.6;0
1354;1354;23.75;4;2;both;1;STELLA ARTOIS 6L              ;INBEV;600;5;0
1366;1366;0.83;0;2;both;1;RODENBACH CLASSIC 25VC        ;BRASSERIE PALM;25;5.2;0
1372;1372;104.59;13;2;both;1;DUVEL 19,5 L                  ;BRASSERIE DUVEL MOORTGAT;1950;8.5;0
1378;1378;24.05;14;2;both;1;HOEGAARDEN BLANCHE 6L         ;BRASSERIE HOEGAARDEN;600;4.8;0
1379;1379;27.05;-1;2;both;1;DIEKIRCH GRAND CRU 6L         ;BRASSERIE DIECKIRCH;600;5.1;0
1391;1391;2.06;191;2;both;1;KWAK 33VC                     ;BRASSERIE BOSTEELS;33;8.4;4
1400;1400;1.19;2;2;both;1;QUEUE DE CHARRUE BRUNE 33VC   ;BRASSERIE VANUXEEM;33;5.4;0
1401;1401;1.3;189;2;both;1;QUEUE DE CHARRUE BLONDE 33VC  ;BRASSERIE VANUXEEM;33;6.6;7
1402;1402;1.49;118;2;both;1;QUEUE DE CHARRUE TRIPLE 33VC  ;BRASSERIE VANUXEEM;33;9;0
1406;1406;2.01;24;2;both;1;TONGERLO PRIOR TRIPLE 33VC    ;BRASSERIE HAATCH;33;9;0
1407;1407;1.6;73;2;both;1;TRAPPE BLONDE 33VC            ;BRASSERIE DE KONINGSHOEVEN;33;6.5;0
1411;1411;1.57;106;2;both;1;TRAPPE ISIDOR 33VC            ;BRASSERIE DE KONINGSHOEVEN;33;7.5;0
