ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
5875;5875;3 FONTEINEN OUDE KRIEK 75VP;LAMBIC;102;13.8413;0.20703;2;6;29;75;6.7;1;0;3    ;0
5876;5876;LEFORT BRUNE 33VC;;157;1.6261;0.13596;2;24;0;33;10;1;4.5;2    ;0
5878;5878;JAMBON SERRANO DESOSSE KG;;0;20.83;0;3;1;2;100;0;1;0;     ;0
5880;5880;RHUM HAVANA CLUB ESPECIAL 70CL;;0;15.45;0;2;6;-2;70;37.5;1;0;     ;0
5881;5881;MARGALET 28% 150G;;0;3.4163;0;3;8;0;100;0;1;0;3    ;0
5882;5882;ROCAMADOUR AOP 23% 35G;FERMIER B. AMALTHEE;0;0.72;0;3;20;0;100;0;1;0;3    ;0
5883;5883;ROUELLE CENDREE 21% 155G;LE PIC;0;3.5;0;3;8;0;100;0;1;0;3    ;0
5885;5885;ENROBE RAISIN BRUN 45% 80G;CHEVREF;0;1.77;0;3;6;0;100;0;1;0;3    ;0
5886;5886;FIGUETTE EPICE 19% 65G;LE PIC;0;1.5;0;3;12;0;100;0;1;0;3    ;0
5887;5887;ENROBE ABRICOT 45% 80G;;0;1.77;0;3;6;0;100;0;1;0;3    ;0
5888;5888;ENROBE POIVRE NOIR 45% 80G;;0;1.77;0;3;6;0;100;0;1;0;3    ;0
5889;5889;ENROBE RAISIN BLOND 45% 80G;;0;1.77;0;3;6;0;100;0;1;0;3    ;0
5890;5890;2 FIGUETTES NATURE 24% 2X65G;LE PIC;0;1.761;0;3;6;0;100;0;1;0;3    ;0
5891;5891;TRUFFADOU 22% TUB AES 3.2% 30G;BOIS AMALTHEE;0;1.293;0;3;16;0;100;0;1;0;3    ;0
5892;5892;BRILLAT SAV IGP 39% LC BB 100G;ROUZAIRE;0;1.676;0;3;6;0;100;0;1;0;3    ;0
5893;5893;PT CAMEMBERT 22% LC 150G;LE GASLONDE;0;3.648;0;3;1;0;100;0;1;0;3    ;0
5894;5894;ST MARCELLIN IGP 23% LC 80G;LMR;0;2.28;0;3;16;0;100;0;1;0;3    ;0
5895;5895;ST FELICIEN 27% LC 180G;LMR;0;5.1705;0;3;6;0;100;0;1;0;3    ;0
5896;5896;SAUCISSE SECHE PERCHE S/GAZ KG;CROS;0;15;0;3;1;0;100;0;1;0;     ;0
5902;5902;TENTE PLIANTE 4X4 PRO 50 ALU;+ TOIT CLASSIQUE BLANC 380G;0;682.5;0;2;1;0;100;0;1;0;     ;0
5903;5903;CORB BAMBOU GM CHOCOLAT;;0;1.8;0;2;1;0;100;0;1;0;     ;0
5904;5904;GUE MOINES PREAMBULE 20L;BLANCHE;48;3.4;0.23896;2;20;240;100;5.8;1;30;1    ;3
5959;5959;LA DEBAUCHE ALMA 33BTE;SESSION IPA;191;1.9418;0.06118;2;12;9;33;4.5;1;0;3    ;1
5961;5961;LA DEBAUCHE IPA 75VP;;191;3.9825;0.1854;2;6;103;75;6;1;0;3    ;1
5969;5969;VERRE ROTHAUS 30CL;;0;1.5;0;2;6;6;100;0;1;0;3    ;0
5970;5970;CHOPE ROTHAUS 50CL;;0;2.5;0;2;6;6;100;0;1;0;3    ;0
5971;5971;VERRE FRANZISKANER 50CL;;0;2;0;2;6;12;100;0;1;0;3    ;0
