ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
441;441;BIB 5L TRADITION ROUGE 12°5;;226;14.17;0;2;1;23;500;12.5;1;0;4    ;20
442;442;BIB 5L CDR MAGIE TERRE ROSE;AOP GRENACHE SYRAH;0;15.34;0;2;1;5;500;13.5;1;0;4    ;0
478;478;CHOUCHEN 75CL  HYDROMELLERIE;CORNOUAILLE LOZACHMEUR;0;5.8;0;2;12;0;75;13;1;0;     ;0
479;479;SUZE 100CL;;0;8.99;0;2;6;9;100;15;1;0;     ;0
481;481;PASSOA 70CL;A BASE DE JUS FRUIT PASSION;0;12.036;0;2;6;4;70;15;1;0;     ;0
483;483;BIB 3L MUSCAT RIVESALTES;CAP DE FOUSTE;0;22;0;2;1;0;300;15.5;1;0;4    ;0
485;485;MUSCAT VALAURIA 100CL;AOC RIVESALTES;0;8.1;0;2;6;18;100;15.5;1;0;     ;0
510;510;KARMELIET TRIPLE 30L;TC/BELGIQUE;38;3.85;0.6368;2;30;30;100;8;1;30;1    ;10
519;519;PIGGY CHRISTMAS 30L PK TP;DBLE BROWN / CHATEL-ST-GERMAIN;137;4.99;0.4378;2;30;60;100;11;0;0;7    ;0
522;522;RATZ AMBREE 30L;TP/FONTANES LOT;27;2.85;0.1791;2;30;720;100;4.5;1;30;1    ;4
523;523;RATZ BLONDE 30L;TP/FONTANES LOT;27;2.78;0.1791;2;30;1050;100;4.5;1;30;1    ;7
525;525;SAS PILS 30L;TC/BELGIQUE;14;2.1;0.199;2;30;3930;100;5;1;30;1    ;7
528;528;HOMMELBIER 30L;BELGIQUE;13;3.15;0.2985;2;30;420;100;7.5;1;30;1    ;10
535;535;ST STEFANUS BLONDE 20L;TC / BELGIQUE;26;3.72;0.2786;2;20;1440;100;7;1;30;1    ;10
549;549;RATZ BLANCHE 30L;TP/FONTANES LOT;27;3.05;0.1791;2;30;990;100;4.5;1;30;1    ;3
558;558;LUPULUS TRIPLE BLONDE 20L;BELGIQUE;10;4.1;0.3383;2;20;360;100;8.5;1;30;1    ;10
561;561;DUPONT MONKS STOUT 20L;;88;3.7869;0.20696;2;20;300;100;5.2;1;30;1    ;5
572;572;SAISON DUPONT DRY HOPPING 20L;BELGIQUE;88;4.34;0.2587;2;20;380;100;6.5;2;30;1    ;11
573;573;SAISON DUPONT 20L;BELGIQUE TC;88;3.7;0.2587;2;20;760;100;6.5;0;30;1    ;11
603;603;BOON FRAMBOISE 25VC;LAMBIC FRUITEE;41;1.8108;0.04975;2;24;438;25;5;1;4.5;2    ;13
604;604;BOON KRIEK 25VC;;41;1.3957;0.0398;2;24;359;25;4;1;4.5;2    ;13
605;605;BOON FARO 25VC;;41;1.3184;0.04975;2;24;315;25;5;1;4.5;2    ;13
610;610;DUCHESSE BOURGOGNE 25VC;;15;1.4962;0.06169;2;24;72;25;6.2;1;4.5;02   ;0
611;611;GRISETTE BLANCHE BIO 25VC;;11;1.0956;0.05472;2;24;474;25;5.5;1;4.5;2    ;3
612;612;GRISETTE BLONDE BIO 25VC;SANS GLUTEN;11;1.0956;0.05472;2;24;279;25;5.5;1;4.5;2    ;7
614;614;HOMMELBIER 25VC;BELGIQUE;13;0.9671;0.07462;2;24;159;25;7.5;1;4.5;2    ;0
622;622;LINDEMANS KRIEK 25VC;BELGIQUE;42;1.1602;0.03482;2;24;286;25;3.5;1;4.5;2    ;0
625;625;LINDEMANS GUEUZE 25VC;BELGIQUE;42;0.9231;0.04975;2;24;68;25;5;1;4.5;2    ;13
627;627;BLANCHE DE NAMUR 25VC;;37;0.9489;0.04477;2;24;411;25;4.5;1;4.5;2    ;3
633;633;MOINETTE BIO 33VC;BELGIQUE;88;1.5735;0.09851;2;24;61;33;7.5;0;4.5;2    ;11
642;642;AREND BLONDE 33VC;;89;1.6306;0.08537;2;24;171;33;6.5;1;7;2    ;7
644;644;AREND TRIPLE 33VC;;89;1.8344;0.10507;2;24;112;33;8;1;7;2    ;10
647;647;BARBAR BLONDE MECA 33VC;BELGIQUE;98;1.449;0.10507;2;20;0;33;8;1;12;2    ;0
658;658;ST BERNARDUS BLANCHE 33VC;BELGIQUE;31;1.0131;0.07224;2;24;56;33;5.5;1;4.5;2    ;0
659;659;ST BERNARDUS TRIPLE 33VC;;31;1.3265;0.10507;2;24;145;33;8;1;4.5;2    ;10
661;661;BLANCHE DES HONNELLES 33VC;BELGIQUE;39;1.3334;0.0788;2;24;0;33;6;1;2.4;3    ;0
663;663;BRUGSE ZOT DOUBLE BRUNE 33VC;;8;1.546;0.09851;2;24;24;33;7.5;1;7;2    ;12
664;664;BRUGSE ZOT BLONDE 33VC;;8;1.4542;0.0788;2;24;205;33;6;1;7;2    ;7
665;665;BUSH AMBREE CARACTERE 33VC;BELGIQUE;20;1.6862;0.15761;2;24;139;33;12;1;4.5;2    ;0
