ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
2222;2222;1722.5;0;2;both;1;MACH GLACE GRANULAIRE 85KG/24H;;100;0;0
2223;2223;231.61;5;2;both;1;MACHINE PERFECT DRAFT         ;;100;0;0
2224;2224;2500;0;2;both;1;MACHINE TIRAGE PRESSION       ;;100;0;0
2225;2225;12508.92;-2;2;both;1;MACH TIRAGE PRESSION COMPLETE:;;100;0;0
2233;2233;244.47;-1;2;both;1;PLATEAU EMBOUTI 400X400       ;;100;0;0
2234;2234;81.14;0;2;both;1;PUREXOL BIDON 12,5KG          ;;1000;0;0
2242;2242;82.69;16;2;both;1;ADAPTATEUR RINÇAGE KEYKEG     ;;100;0;0
2244;2244;50;-2;2;both;1;TUYAUX ET RACCORDS            ;;100;0;0
2245;2245;211;0;2;both;1;TUYAU ALIM BICOUCHE LUPULUS   ;;100;0;0
2247;2247;1032.7;0;2;both;1;FROID SEC 1 TIRAGE 1/8CV 24L/H;;100;0;0
2248;2248;1113;0;2;both;1;VENTE H40 1T DIRECT 1/3CV     ;;100;0;0
2250;2250;6.2;-12;2;both;1;VENTE CHAISE PVC              ;;100;0;0
2251;2251;2533.95;0;2;both;1;FIESTA200 CLASSIC DIRECT 1/2CV;;100;0;0
2252;2252;5.17;-24;2;both;1;VENTE FAUTEUIL RIO +          ;;100;0;0
2253;2253;9.2;-3;2;both;1;TABLE RONDE REFACTUREE        ;;100;0;0
2254;2254;16.09;-1;2;both;1;TABLE MICHIGAN BORDEAUX REFACT;;100;0;0
2255;2255;140;0;2;both;1;FORFAIT MONTAGE COMPRENANT :  ;;100;0;0
2256;2256;83.33;-4;2;both;1;FRAIS DE DEPLACEMENTS         ;;100;0;0
2257;2257;150.65;-1;2;both;1;MANO BOUTEILLE DOUBLE SORTIE  ;;100;0;0
2258;2258;41.67;-62;2;both;1;FRAIS DE LIVRAISON + REPRISE  ;;100;0;0
2259;2259;20.6;-44;2;both;1;FRAIS DE REJET DE TRAITE      ;;100;0;0
2260;2260;41.67;0;2;both;1;FRAIS DE REMISE               ;;100;0;0
2262;2262;41.67;0;2;both;1;FRAIS MAIN D'OEUVRE           ;;100;0;0
2264;2264;8.32;-24;2;both;1;LOCATION COMPTOIR ABRI FACIL  ;;100;0;0
2265;2265;79.58;0;2;both;1;LOC TENTE ABRI FACI 4X4+4 LEST;;100;0;0
2266;2266;189.6;0;2;both;1;LOCATION TENTE ABRI 4X8+ LESTS;;100;0;0
2267;2267;8.33;-2;2;both;1;LOCATION BACHE ROUGE 3C ABS   ;;100;0;0
2268;2268;62.5;0;2;both;1;LOCATION BUVETTE HEXAGONALE   ;;100;0;0
2269;2269;410.83;-1;2;both;1;LOCATION CAMION FRIGO 3T5     ;;100;0;0
2270;2270;1.25;-226;2;both;1;LOCATION CHAISE PLASTIQUE     ;;100;0;0
2271;2271;8.33;24;2;both;1;LOCATION COMPTOIRS ABS 2M     ;;100;0;0
2272;2272;25;21;2;both;1;FRAIS PICKING                 ;;100;0;0
2273;2273;20.83;-10;2;both;1;LOCATION FRIGO 300 BOITES     ;;100;0;0
2275;2275;16.67;-13;2;both;1;LOCATION MACHINE A CAFE 10L   ;;100;0;0
2276;2276;20.83;-6;2;both;1;LOCATION MACHINE 2 TIRAGES    ;;100;0;0
2277;2277;20.83;-139;2;both;1;LOCATION MACHINE 1 TIRAGE     ;;100;0;0
2278;2278;350;-4;2;both;1;LOCATION REMORQUE FRIGO       ;;100;0;0
2279;2279;1.67;-59;2;both;1;LOCATION TABLE RONDE PVC      ;;100;0;0
2280;2280;1.67;-15;2;both;1;LOCATION TABLE CARRE PVC      ;;100;0;0
2281;2281;130;-33;2;both;1;LOCATION TETE CREUSE          ;;100;0;0
2285;2285;25;-3;2;both;1;SANITATION 1T PRESSION CHEZ OB;;100;0;0
2286;2286;45;-153;2;both;1;SANITATION 1/2 T PRESSION EXT.;;100;0;0
2294;2294;130;-69;2;both;1;LOCATION TETE PLATE           ;;100;0;0
2295;2295;130;-68;2;both;1;LOCATION TETE KEYKEG          ;;100;0;0
2296;2296;130;-2;2;both;1;LOCATION TETE TRAPPE          ;;100;0;0
2304;2304;33.1;5;2;both;1;RH MILLONARIO SOLERA 15A 70CL ;;70;40;0
2308;2308;23.78;9;2;both;1;CARPANO ANTICA FORMULA 100CL  ;;100;16.5;0
2313;2313;32.98;4;2;both;1;ABSINTHES MORAND 70 CL        ;;70;50;0
2318;2318;17.5;18;2;both;1;AMER CYNAR 100CL              ;;100;16.5;0
2324;2324;15.07;0;2;both;1;VODKA ABSOLUT 70CL            ;;70;40;0
2331;2331;29.74;0;2;both;1;MEZCAL REY ZAPOTECO BIO 50CL  ;;50;50;0
2349;2349;36.8;0;2;both;1;WHISKY HUDSON BABY 14A 35CL   ;;35;46;0
2356;2356;5.3;2;2;both;1;CAMPLAZENS RESERVE ROSE 75C   ;;75;13.5;21
2358;2358;5.25;55;2;both;1;CAMPLAZENS IGP OC GRENACHE75CL;;75;15;20
2359;2359;5.4;1;2;both;1;CAMPLAZENS MARSELAN RGE 75CL  ;;75;15;20
